index,Model,Elo rating
1,chatgpt-4o-latest,1312.3416913676947
2,gemini-1.5-pro-exp-0827,1289.5684149305484
3,gpt-4o-2024-05-13,1286.400102228894
4,grok-2-2024-08-13,1280.4056029155258
5,claude-3-5-sonnet-20240620,1279.7854670763595
6,gemini-1.5-pro-exp-0801,1276.1704086209243
7,llama-3.1-405b-instruct,1270.4231487066031
8,gpt-4o-mini-2024-07-18,1268.150544174261
9,gemini-1.5-flash-exp-0827,1265.9238782631887
10,gpt-4o-2024-08-06,1265.7557635506405
11,grok-2-mini-2024-08-13,1259.7396591731217
12,gemini-1.5-pro-api-0514,1257.6561409076817
13,mistral-large-2407,1257.3902493461133
14,gpt-4-turbo-2024-04-09,1254.743195741672
15,gemini-advanced-0514,1253.016759672004
16,gpt-4-1106-preview,1248.2669733858343
17,athene-70b-0725,1246.7425656910036
18,claude-3-opus-20240229,1245.341111629507
19,gpt-4-0125-preview,1242.6680454385464
20,llama-3.1-70b-instruct,1240.7898273325645
21,yi-large-preview,1239.3595872062238
22,deepseek-coder-v2-0724,1234.8375947067575
23,gemini-1.5-pro-api-0409-preview,1232.5577586008458
24,deepseek-v2-api-0628,1231.787028769831
25,gemini-1.5-flash-api-0514,1223.605860280974
26,glm-4-0520,1213.0770800710511
27,deepseek-coder-v2,1210.8076753694013
28,yi-large,1208.2256916436613
29,jamba-1.5-large,1208.1975509019926
30,nemotron-4-340b-instruct,1201.7615794802691
31,reka-core-20240722,1201.1351605170912
32,claude-3-sonnet-20240229,1198.95684108484
33,gemma-2-27b-it,1198.6958572013282
34,gemini-1.5-flash-8b-exp-0827,1196.7209136204024
35,llama-3-70b-instruct,1196.6797411009543
36,gpt-4-0314,1195.882029571197
37,qwen2-72b-instruct,1188.5142964745696
38,glm-4-0116,1186.5141075421002
39,reka-core-20240501,1186.5094463813466
40,qwen-max-0428,1186.1188461857882
41,claude-3-haiku-20240307,1177.4904526394912
42,reka-flash-20240722,1175.4255538344564
43,llama-3.1-8b-instruct,1171.3288023204113
44,command-r-plus,1168.626931211163
45,qwen1.5-110b-chat,1168.5867235068972
46,gpt-4-0613,1167.758127611658
47,jamba-1.5-mini,1167.4748483975873
48,gemma-2-9b-it,1166.9925311551192
49,mistral-large-2402,1165.309979653308
50,yi-1.5-34b-chat,1159.5098561827194
51,bard-jan-24-gemini-pro,1157.1345921984775
52,mixtral-8x22b-instruct-v0.1,1147.9782933477622
53,qwen1.5-72b-chat,1146.8396064491003
54,mistral-medium,1144.41162548818
55,reka-flash-preview-20240611,1143.965877994563
56,reka-flash-21b-20240226-online,1142.727773408537
57,llama-3-8b-instruct,1136.7344369723369
58,qwen1.5-32b-chat,1135.684051029215
59,reka-flash-21b-20240226,1133.5422726705478
60,mistral-next,1129.5582192748248
61,phi-3-medium-4k-instruct,1128.4945845362995
62,claude-2.0,1126.281956513088
63,claude-1,1125.8558475775294
64,gpt-3.5-turbo-0613,1123.3715705506415
65,command-r,1119.316067301508
66,claude-2.1,1119.2193063761447
67,starling-lm-7b-beta,1119.1694004816445
68,gpt-3.5-turbo-0314,1116.9910110459314
69,zephyr-orpo-141b-A35b-v0.1,1116.89425950971
70,qwen1.5-14b-chat,1116.5279140541138
