question_id,broad_category_id,broad_category,narrower_category_id,narrower_category,model_a,model_b,winner
c914c86b5249422582849b023ffe822c,3,Creative Writing,23,Creative Poetry Writing,llama-3.1-70b-instruct,chatgpt-4o-latest,model_b
3bd49749ecde495393389d8b2a360557,1,Diverse Subjects,95,Audit and Financial Reporting Procedures,gemini-1.5-flash-api-0514,deepseek-coder-v2-0724,tie (bothbad)
fe545a18900142349df9af01661c83bb,0,Tech Programming,17,Video Game Concepts and Critiques,gemini-1.5-pro-api-0514,claude-3-5-sonnet-20240620,model_a
bb137d5cb55f4cbe8455b1b952801af0,0,Tech Programming,17,Video Game Concepts and Critiques,claude-3-5-sonnet-20240620,mixtral-8x22b-instruct-v0.1,model_a
db7c292c529242729f447b75c9ed7439,1,Diverse Subjects,47,Scientific and Academic Writing Assistance,chatgpt-4o-latest,phi-3-mini-4k-instruct-june-2024,model_a
1ec2db93ed4846f0b9614c9fc3687554,1,Diverse Subjects,1,Professional Communication and Career Development,dbrx-next,llama-3-70b-instruct,tie
8e9d85ccf3214efb933c3f2af15c8208,-1,Miscellaneous,5,Letter Counting in Words,deepseek-coder-v2,glm-4-0520,model_a
75b29cdbcbd744df81bbf8ef11e3b7b8,3,Creative Writing,32,Genshin Impact Fanfiction,llama-3-8b-instruct,gpt-4-1106-preview,model_a
d8ed903d743241d79ac814ef465b0823,2,Puzzles & Analysis,54,Probability and Dice Games,gpt-4-0125-preview,chatgpt-4o-latest,tie
10e80bd6d72c4e0aa107626ec5929b8f,0,Tech Programming,110,Text Copying Instructions,gemini-1.5-flash-api-0514,gpt-4o-2024-05-13,model_b
85b3ca2a20f64697be75bd0b3358d6d9,-1,Miscellaneous,73,Word Count Estimation,gemini-1.5-flash-api-0514,yi-large-preview,model_b
0467509d49bd4dc6b9bbdd861181397d,4,AI Systems,2,Deep Learning and Neural Networks,gemma-2-9b-it,gemma-2-27b-it,tie
dc926d2926bf4604b501a74fe25135e3,1,Diverse Subjects,10,US Presidential Elections,yi-large,llama-3-70b-instruct,tie (bothbad)
d9b5c073d9d6447a948aa728331e2da7,3,Creative Writing,93,4chan Greentext Stories,mistral-large-2402,yi-large,model_a
2148833ee9db4de39579fc78f27b5988,2,Puzzles & Analysis,75,Weight Comparison Riddles,phi-3-mini-4k-instruct-june-2024,llama-3.1-70b-instruct,model_b
b1f7c7bfe09f4c7197f8958af9765055,1,Diverse Subjects,1,Professional Communication and Career Development,gemini-1.5-pro-api-0514,athene-70b-0725,model_a
232ae7ce2eee4ca7b368b4e5c3c220ed,0,Tech Programming,12,Python Data Visualization,chatgpt-4o-latest,llama-3.1-405b-instruct,model_b
1630a83afca3456492ff8240b8a6046f,6,Language Translation,100,Emoji Usage and Interpretation,llama-3.1-405b-instruct,deepseek-v2-api-0628,model_b
7ab3be6c58084f2b8add4f2493e9e3f4,0,Tech Programming,24,Python Game Development,llama-3.1-8b-instruct,mistral-large-2407,model_b
0e57fa742ec541ad8cc8a06012c6a6e8,4,AI Systems,2,Deep Learning and Neural Networks,gemini-1.5-pro-api-0514,claude-3-sonnet-20240229,tie (bothbad)
afe9f8b72ccb4d7ab7f63b9b94b5ccd1,8,Philosophical Ethics,18,Philosophical Inquiry and Ethics,llama-3.1-8b-instruct,reka-flash-20240722,model_a
e5e9107858bd49f6b71fee15c9686493,0,Tech Programming,79,Rust Programming Challenges,gemini-1.5-flash-api-0514,claude-3-5-sonnet-20240620,model_b
4d278ce04e5a46b5808e0f36b86fc468,0,Tech Programming,17,Video Game Concepts and Critiques,gpt-4o-2024-05-13,mixtral-8x7b-instruct-v0.1,model_a
e3454120ebe3460d93ee4f62184d3a28,5,Naming Ideas,7,Songwriting and Lyrics Creation,gpt-4o-2024-05-13,chatgpt-4o-latest,model_a
2447988c52ba4c36b82d44d2b11d487d,-1,Miscellaneous,8,Joke Requests,gpt-4o-2024-05-13,reka-flash-preview-20240611,model_b
ea19ea0899534e65b93f1eb478a1b44f,2,Puzzles & Analysis,69,Illicit Substance Synthesis,gpt-4o-2024-05-13,nemotron-4-340b-instruct,tie
6d1638f0534f478b9a38bd4f15c8382a,1,Diverse Subjects,1,Professional Communication and Career Development,gpt-4-turbo-2024-04-09,gemma-2-27b-it,model_a
505c9acda3b945128e9e3b0f7ee6b770,1,Diverse Subjects,9,Copywriting for Educational and Service Promotions,gpt-4-turbo-2024-04-09,reka-core-20240501,tie (bothbad)
f6876c413ff5412aa8d7e2a64bc01c2a,6,Language Translation,25,Linguistic Analysis and Word Usage,claude-3-haiku-20240307,claude-3-opus-20240229,tie
