index,Model,Elo rating
1,chatgpt-4o-latest,1324.4430872593264
2,claude-3-5-sonnet-20240620,1297.3624194221397
3,gpt-4o-2024-05-13,1294.8300984426282
4,gemini-1.5-pro-exp-0827,1294.685674943896
5,grok-2-2024-08-13,1287.854924822897
6,gpt-4o-mini-2024-07-18,1280.487595689744
7,llama-3.1-405b-instruct,1278.3197710674283
8,gemini-1.5-pro-exp-0801,1274.7937810048563
9,mistral-large-2407,1272.682042699472
10,gpt-4o-2024-08-06,1272.6138700898277
11,deepseek-coder-v2-0724,1268.168806993665
12,gpt-4-turbo-2024-04-09,1263.8452082881236
13,gemini-1.5-pro-api-0514,1263.2058598604476
14,grok-2-mini-2024-08-13,1255.346886903834
15,gemini-advanced-0514,1254.7660084914858
16,gpt-4-1106-preview,1254.3995422830462
17,llama-3.1-70b-instruct,1252.1772365851937
18,gemini-1.5-flash-exp-0827,1252.0407759377806
19,athene-70b-0725,1250.3784985820892
20,claude-3-opus-20240229,1249.728574400841
21,yi-large-preview,1245.041968753804
22,gpt-4-0125-preview,1245.0394849208512
23,deepseek-v2-api-0628,1239.4253856868747
24,deepseek-coder-v2,1239.1178629632523
25,gemini-1.5-pro-api-0409-preview,1231.3542222368171
26,gemini-1.5-flash-api-0514,1231.2034652247055
27,jamba-1.5-large,1220.2415980850499
28,yi-large,1219.4214184587504
29,glm-4-0520,1216.276700201125
30,claude-3-sonnet-20240229,1213.1291540555296
31,gemma-2-27b-it,1207.2218830782958
32,reka-core-20240722,1205.2246850542592
33,llama-3-70b-instruct,1199.5592882553158
34,nemotron-4-340b-instruct,1198.2642772611912
35,gpt-4-0314,1195.5980050943622
36,glm-4-0116,1191.05831479567
37,reka-core-20240501,1190.3193318309177
38,qwen-max-0428,1189.6170780211992
39,claude-3-haiku-20240307,1188.953990865276
40,qwen2-72b-instruct,1188.1278914751183
41,gemini-1.5-flash-8b-exp-0827,1186.793506855613
42,reka-flash-20240722,1184.480972699563
43,jamba-1.5-mini,1181.11452556183
44,llama-3.1-8b-instruct,1176.9080149149672
45,qwen1.5-110b-chat,1174.5619249530298
46,bard-jan-24-gemini-pro,1171.656387343371
47,mistral-large-2402,1169.6711209240354
48,gpt-4-0613,1167.0938903275767
49,command-r-plus,1164.495533007688
50,gemma-2-9b-it,1164.3723135121952
51,yi-1.5-34b-chat,1162.2166998299008
52,qwen1.5-72b-chat,1160.1598689487607
53,reka-flash-preview-20240611,1154.9968484454496
54,mistral-medium,1152.7879934640425
