index,Model,Score
1,o1-preview,1332.842165232533
2,o1-mini,1325.7755772094408
3,athene-v2-chat,1290.19985265324
4,claude-3-5-sonnet-20240620,1274.3052170292444
5,gemini-1.5-pro-exp-0827,1270.6345172969866
6,gpt-4o-2024-05-13,1258.6864643899164
7,qwen2.5-72b-instruct,1253.609256407439
8,gpt-4o-2024-08-06,1253.13274195453
9,gemini-1.5-flash-exp-0827,1243.7528042954793
10,gpt-4-1106-preview,1243.3030039050866
11,claude-3-opus-20240229,1241.9739942248757
12,gpt-4-turbo-2024-04-09,1241.3440643427332
13,deepseek-v2.5,1240.297606212039
14,gpt-4-0125-preview,1238.6139322397228
15,mistral-large-2407,1234.3306775380597
16,gpt-4o-mini-2024-07-18,1228.586850974155
17,llama-3.1-70b-instruct,1222.2909013552885
18,yi-large-preview,1221.8688944046353
19,deepseek-v2-api-0628,1220.7091530774107
20,qwen-plus-0828,1217.896230408104
21,deepseek-coder-v2,1215.5553483498963
22,deepseek-coder-v2-0724,1213.9644254941306
23,athene-70b-0725,1204.565983844088
24,qwen2-72b-instruct,1200.4434030321547
25,yi-large,1196.5935390328636
26,gpt-4-0314,1195.0278457050617
27,jamba-1.5-large,1191.699257142056
28,llama-3-70b-instruct,1190.3819242640698
29,glm-4-0520,1189.9184701931274
30,gemma-2-27b-it,1187.387097077702
31,nemotron-4-340b-instruct,1185.8680054379718
32,claude-3-sonnet-20240229,1182.8266761545078
33,reka-core-20240722,1181.8718672331036
34,gpt-4-0613,1179.6390451008465
35,gemini-1.5-flash-8b-exp-0827,1174.3058223306205
36,internlm2_5-20b-chat,1169.979505427783
37,command-r-plus-08-2024,1168.6729026858252
38,reka-flash-20240722,1165.6351949444613
39,mistral-large-2402,1165.482600686553
40,reka-core-20240501,1162.9143388429177
41,claude-3-haiku-20240307,1159.487915197352
42,mixtral-8x22b-instruct-v0.1,1155.2316767061484
43,yi-1.5-34b-chat,1151.5631673453615
44,qwen1.5-110b-chat,1151.485128341975
45,gpt-3.5-turbo-0314,1150.6735194147552
46,gemma-2-9b-it,1150.1235411220885
47,llama-3.1-8b-instruct,1144.476829382889
48,gemma-2-9b-it-simpo,1143.9086872216128
49,reka-flash-21b-20240226-online,1141.0457211618962
50,phi-3-medium-4k-instruct,1139.0333521795765
51,command-r-plus,1137.6532378710292
52,command-r-08-2024,1135.0649987455072
53,claude-2.0,1133.2891048116433
54,jamba-1.5-mini,1128.548904391766
55,qwen1.5-72b-chat,1128.2853863567493
56,qwen1.5-32b-chat,1126.2230249992672
57,reka-flash-preview-20240611,1125.776527578343
58,reka-flash-21b-20240226,1125.126251194971
59,claude-2.1,1123.1768344809987
60,zephyr-orpo-141b-A35b-v0.1,1121.5165049097548
61,llama-3-8b-instruct,1118.8369849622632
62,phi-3-small-8k-instruct,1118.0804161155775
63,phi-3-mini-4k-instruct-june-2024,1116.898197354481
64,mixtral-8x7b-instruct-v0.1,1114.0
65,claude-instant-1,1112.9803488204998
66,gpt-3.5-turbo-0125,1110.3919147031634
67,gpt-3.5-turbo-0613,1108.9771874473013
68,gemma-2-2b-it,1108.0644513791012
69,dbrx-instruct-preview,1107.4165442260842
70,gpt-3.5-turbo-1106,1104.217915470143
71,llama-3.2-3b-instruct,1099.907180245422
72,gemini-pro-dev-api,1097.6639571761184
73,starling-lm-7b-beta,1095.656429395021
74,qwen1.5-14b-chat,1090.7935551909754
75,command-r,1089.3018081251957
76,phi-3-mini-4k-instruct,1087.104959931785
77,yi-34b-chat,1082.6342612113272
78,snowflake-arctic-instruct,1082.029499564313
79,tulu-2-dpo-70b,1080.7709608888472
80,gemma-1.1-7b-it,1079.3596646263086
81,wizardlm-70b,1078.941125223141
82,llama-3.2-1b-instruct,1073.7134471719405
83,openchat-3.5-0106,1073.6829278116636
84,deepseek-llm-67b-chat,1073.1558817817581
85,phi-3-mini-128k-instruct,1065.2006999229889
86,openhermes-2.5-mistral-7b,1061.5603042640541
87,llama-2-70b-chat,1058.3231765803257
88,mistral-7b-instruct-v0.2,1055.67663210629
89,qwen1.5-7b-chat,1054.1828318803941
90,starling-lm-7b-alpha,1049.4425441201588
91,llama2-70b-steerlm-chat,1047.5328613751242
92,pplx-70b-online,1046.3548218188416
93,dolphin-2.2.1-mistral-7b,1045.764625098061
94,vicuna-33b,1039.793567154757
95,openchat-3.5,1039.0068560016844
96,qwen-14b-chat,1036.6875024832927
97,llama-2-13b-chat,1035.3343452556178
98,gemma-7b-it,1034.0529342998911
99,solar-10.7b-instruct-v1.0,1029.1966474178428
100,nous-hermes-2-mixtral-8x7b-dpo,1026.4803868029858
101,codellama-70b-instruct,1026.2199629454142
102,gemma-1.1-2b-it,1021.6827259575292
103,codellama-34b-instruct,1019.9448559622567
104,mpt-30b-chat,1017.4919325102157
105,zephyr-7b-beta,1015.5543329174671
106,falcon-180b-chat,1013.3953411375066
107,pplx-7b-online,1012.6382570852695
108,stripedhyena-nous-7b,1012.1035434537546
109,llama-2-7b-chat,1011.6933750492843
110,zephyr-7b-alpha,1008.8831920870039
111,mistral-7b-instruct,1001.9562117943902
112,vicuna-13b,1001.9069773288043
113,qwen1.5-4b-chat,991.9168733943998
114,wizardlm-13b,991.2476472830526
115,olmo-7b-instruct,989.454085037267
116,guanaco-33b,989.0620638478134
117,gemma-2b-it,983.1409045153325
118,vicuna-7b,966.4950119929638
119,chatglm3-6b,963.641436597143
120,koala-13b,908.519189508248
121,gpt4all-13b-snoozy,901.9953992865769
122,mpt-7b-chat,900.6212651325793
123,RWKV-4-Raven-14B,898.4369433997849
124,chatglm2-6b,897.8531592011426
125,chatglm-6b,897.4437046123151
126,alpaca-13b,880.7633232564647
127,oasst-pythia-12b,867.2018915564499
128,dolly-v2-12b,846.3635261564607
129,fastchat-t5-3b,838.6066347008643
130,llama-13b,812.0247141523719
131,stablelm-tuned-alpha-7b,810.8536887301183
