index,Model,Elo rating
1,chatgpt-4o-latest,1316.1559008799543
2,gemini-1.5-pro-exp-0827,1300.8583398843484
3,gemini-1.5-pro-exp-0801,1297.59430847666
4,grok-2-2024-08-13,1294.8202956701748
5,gpt-4o-2024-05-13,1285.5943701354543
6,gpt-4o-mini-2024-07-18,1273.6004783067303
7,gemini-1.5-flash-exp-0827,1270.530573909608
8,claude-3-5-sonnet-20240620,1270.113546648134
9,gemini-advanced-0514,1266.4225960498002
10,llama-3.1-405b-instruct,1266.244657076764
11,grok-2-mini-2024-08-13,1264.9513363349038
12,gpt-4o-2024-08-06,1262.2672273976052
13,gemini-1.5-pro-api-0514,1259.2844314017723
14,gemini-1.5-pro-api-0409-preview,1257.4157544815623
15,gpt-4-turbo-2024-04-09,1256.8534493659145
16,gpt-4-1106-preview,1250.9850706272618
17,mistral-large-2407,1249.8268751367714
18,athene-70b-0725,1249.0422556523
19,llama-3.1-70b-instruct,1248.125657778695
20,claude-3-opus-20240229,1247.7032274174521
21,gpt-4-0125-preview,1245.4060092382374
22,yi-large-preview,1239.5761510938928
23,reka-core-20240722,1229.2148108171098
24,gemini-1.5-flash-api-0514,1226.8769924152105
25,deepseek-v2-api-0628,1219.193631934411
26,gemma-2-27b-it,1217.6289541211524
27,deepseek-coder-v2-0724,1214.5634252743123
28,jamba-1.5-large,1213.1299522212842
29,yi-large,1212.4668382698005
30,nemotron-4-340b-instruct,1209.0113576689246
31,bard-jan-24-gemini-pro,1208.814448588429
32,glm-4-0520,1206.6341093668345
33,llama-3-70b-instruct,1206.3236747009742
34,gemini-1.5-flash-8b-exp-0827,1202.454314251008
35,claude-3-sonnet-20240229,1201.0927738868434
36,reka-core-20240501,1199.526129303784
37,reka-flash-20240722,1197.6752776247824
38,command-r-plus,1189.8706184144658
39,gemma-2-9b-it,1187.4992129762952
40,qwen2-72b-instruct,1186.7832147344182
41,gpt-4-0314,1186.35312245346
42,glm-4-0116,1183.1594046999974
43,qwen-max-0428,1183.14314732216
44,claude-3-haiku-20240307,1178.5484948812955
45,deepseek-coder-v2,1178.2078321854526
46,jamba-1.5-mini,1174.7657034210808
47,llama-3.1-8b-instruct,1167.8793593807711
48,reka-flash-preview-20240611,1165.0692278265794
49,gpt-4-0613,1163.0130520499174
50,qwen1.5-110b-chat,1161.5190965759007
51,mistral-large-2402,1157.271872307139
52,yi-1.5-34b-chat,1157.0232630232897
53,reka-flash-21b-20240226-online,1155.886172273516
54,llama-3-8b-instruct,1151.8979088085553
55,claude-1,1149.0107040097055
56,command-r,1148.6665817312062
57,mistral-medium,1147.9660499632187
58,reka-flash-21b-20240226,1147.6437889843608
59,qwen1.5-72b-chat,1147.4019873037112
60,mixtral-8x22b-instruct-v0.1,1147.0325504217642
61,claude-2.0,1132.075108719174
62,gemini-pro-dev-api,1131.5453121293294
63,gemma-2-2b-it,1131.352523603396
64,zephyr-orpo-141b-A35b-v0.1,1127.4006047155513
65,qwen1.5-32b-chat,1125.6191263262388
66,mistral-next,1124.6996380361322
67,phi-3-medium-4k-instruct,1123.1375474301017
68,starling-lm-7b-beta,1118.8467690518805
69,claude-2.1,1118.296191639905
70,gpt-3.5-turbo-0613,1117.0289441863001
71,mixtral-8x7b-instruct-v0.1,1114.0
72,yi-34b-chat,1111.4239845057755
73,claude-instant-1,1111.4087029505577
74,gemini-pro,1110.7723185324794
75,qwen1.5-14b-chat,1108.6448983107375
76,gpt-3.5-turbo-0314,1106.6265520003549
77,wizardlm-70b,1106.1634008284257
78,gpt-3.5-turbo-0125,1105.721532019217
79,dbrx-instruct-preview,1103.084803354132
80,phi-3-small-8k-instruct,1101.6232513392792
81,tulu-2-dpo-70b,1099.430549370869
