index,Model,Score
1,o1-mini,1351.5679630835543
2,o1-preview,1344.989573550729
3,gpt-4o-2024-05-13,1296.6634680173088
4,athene-v2-chat,1294.3837194487596
5,claude-3-5-sonnet-20240620,1293.2305424488868
6,gemini-1.5-pro-exp-0827,1289.9644440678821
7,deepseek-v2.5,1284.4107517647703
8,gpt-4o-mini-2024-07-18,1284.253862685161
9,qwen2.5-72b-instruct,1284.1277502914509
10,gpt-4o-2024-08-06,1274.37668962412
11,mistral-large-2407,1268.5374181961724
12,gpt-4-turbo-2024-04-09,1263.8067822673002
13,deepseek-coder-v2-0724,1262.19318565513
14,gemini-1.5-flash-exp-0827,1258.2337430811017
15,gpt-4-1106-preview,1252.1250039615065
16,athene-70b-0725,1251.9826189757518
17,claude-3-opus-20240229,1251.6208533044369
18,llama-3.1-70b-instruct,1249.050096128929
19,yi-large-preview,1248.5257585280451
20,qwen-plus-0828,1247.984207549484
21,deepseek-v2-api-0628,1243.9668506380472
22,gpt-4-0125-preview,1243.7356956544004
23,deepseek-coder-v2,1239.457550227005
24,yi-large,1221.9351935626532
25,jamba-1.5-large,1218.2889452119093
26,claude-3-sonnet-20240229,1215.3382349945728
27,glm-4-0520,1213.9685946367877
28,gemma-2-27b-it,1211.8867989781152
29,reka-core-20240722,1204.8031919509758
30,nemotron-4-340b-instruct,1200.393879430183
31,llama-3-70b-instruct,1200.3802852633721
32,gpt-4-0314,1195.1604942416852
33,gemma-2-9b-it-simpo,1191.2627161755136
34,reka-core-20240501,1191.1875937644008
35,gemini-1.5-flash-8b-exp-0827,1189.6364286856397
36,claude-3-haiku-20240307,1188.8212048591304
37,qwen2-72b-instruct,1188.591226249967
38,llama-3.1-8b-instruct,1187.761173346204
39,reka-flash-20240722,1185.4130983125465
40,command-r-plus-08-2024,1179.3214364271857
41,jamba-1.5-mini,1174.2956532638627
42,qwen1.5-110b-chat,1173.5868465930535
43,internlm2_5-20b-chat,1172.7364576911395
44,mistral-large-2402,1168.544719084207
45,gpt-4-0613,1166.9256153025408
46,gemma-2-9b-it,1165.7398064112522
47,command-r-plus,1164.2361696907838
48,yi-1.5-34b-chat,1161.9977733691117
49,qwen1.5-72b-chat,1160.3088138631688
50,command-r-08-2024,1158.7100528784613
51,reka-flash-preview-20240611,1153.9657408503408
52,mixtral-8x22b-instruct-v0.1,1153.659901155414
53,qwen1.5-32b-chat,1152.5478855005108
54,reka-flash-21b-20240226-online,1147.6616320794583
55,llama-3-8b-instruct,1145.3288144718176
56,reka-flash-21b-20240226,1139.229183535455
57,claude-2.0,1135.988016622594
58,gpt-3.5-turbo-0613,1134.7621287889183
59,claude-2.1,1131.4299301069184
60,starling-lm-7b-beta,1129.6589031811498
61,zephyr-orpo-141b-A35b-v0.1,1125.5205216253044
62,gpt-3.5-turbo-0314,1125.0429036333726
63,qwen1.5-14b-chat,1125.0242066645822
64,phi-3-medium-4k-instruct,1123.5319079474193
65,command-r,1123.0729511996487
66,gpt-3.5-turbo-0125,1122.3814446188344
67,dbrx-instruct-preview,1117.1714204556292
68,mixtral-8x7b-instruct-v0.1,1114.0
69,claude-instant-1,1110.487776170697
70,yi-34b-chat,1107.4046643835104
71,phi-3-small-8k-instruct,1104.8268808207208
72,gemini-pro-dev-api,1104.2900628390926
73,openchat-3.5-0106,1103.5432890372167
74,gpt-3.5-turbo-1106,1102.4352832718387
75,gemma-2-2b-it,1096.3495894164605
76,tulu-2-dpo-70b,1093.2025212805154
77,qwen1.5-7b-chat,1089.9561014723836
78,deepseek-llm-67b-chat,1086.6071983701395
79,gemma-1.1-7b-it,1085.8971225174841
80,phi-3-mini-4k-instruct,1085.8005293345664
81,starling-lm-7b-alpha,1079.3757451324332
82,llama-3.2-3b-instruct,1078.9434318160343
83,phi-3-mini-4k-instruct-june-2024,1078.6794575121285
84,mistral-7b-instruct-v0.2,1075.1629270733174
85,snowflake-arctic-instruct,1075.1131796030868
86,nous-hermes-2-mixtral-8x7b-dpo,1074.4482428523872
87,llama-2-70b-chat,1071.017015023539
88,wizardlm-70b,1070.6139987520517
89,vicuna-33b,1069.838902889321
90,llama-3.2-1b-instruct,1063.246683923816
91,openhermes-2.5-mistral-7b,1060.978814804281
92,openchat-3.5,1055.231589663983
93,qwen-14b-chat,1051.0964695025173
94,llama-2-13b-chat,1048.0580814666523
95,gemma-7b-it,1047.3062468834319
96,codellama-70b-instruct,1046.9439516096786
97,mpt-30b-chat,1044.1351084056428
98,solar-10.7b-instruct-v1.0,1042.3013951921475
99,codellama-34b-instruct,1038.5620925426333
100,gemma-1.1-2b-it,1036.682713128329
101,vicuna-13b,1035.5702635239
102,zephyr-7b-alpha,1031.4546416653666
103,wizardlm-13b,1028.4605860054553
104,zephyr-7b-beta,1028.1937240113132
105,phi-3-mini-128k-instruct,1025.2583706745017
106,pplx-70b-online,1024.902919458636
107,olmo-7b-instruct,1019.6590774809546
108,llama2-70b-steerlm-chat,1018.6131586728158
109,dolphin-2.2.1-mistral-7b,1014.5555184937033
110,falcon-180b-chat,1012.6342973276699
111,pplx-7b-online,1012.4294011609746
112,mistral-7b-instruct,1006.8845775232093
113,llama-2-7b-chat,1001.418332866965
114,stripedhyena-nous-7b,1000.7058253325611
115,gemma-2b-it,999.8310834373548
116,qwen1.5-4b-chat,989.0958089149813
117,vicuna-7b,986.5214753011053
118,guanaco-33b,959.1334652657197
119,chatglm3-6b,949.3926144928173
120,koala-13b,944.2356351189113
121,gpt4all-13b-snoozy,913.2624395592559
122,mpt-7b-chat,909.22304360238
123,RWKV-4-Raven-14B,908.6228583192462
124,chatglm2-6b,896.0478777223732
125,chatglm-6b,895.9602855256904
126,oasst-pythia-12b,883.4537449947736
127,stablelm-tuned-alpha-7b,867.2756660948011
128,alpaca-13b,801.0466265802082
129,fastchat-t5-3b,767.4890646144007
130,dolly-v2-12b,750.0752891852434
131,llama-13b,680.0032090920939
