index,Model,Elo rating
1,claude-3-5-sonnet-20240620,1273.9494141851965
2,gemini-1.5-pro-exp-0827,1271.1357682358544
3,chatgpt-4o-latest,1269.1088545005177
4,gemini-1.5-pro-exp-0801,1258.3779003571844
5,gpt-4o-2024-05-13,1257.0698503356161
6,grok-2-2024-08-13,1251.5462577390213
7,gpt-4o-2024-08-06,1250.5527964765242
8,gemini-1.5-flash-exp-0827,1246.362580013074
9,gpt-4-1106-preview,1245.4810000278494
10,gpt-4-turbo-2024-04-09,1243.030268393226
11,llama-3.1-405b-instruct,1241.8101525782276
12,claude-3-opus-20240229,1239.3678596529421
13,gpt-4-0125-preview,1238.6835476651345
14,gemini-advanced-0514,1237.536483526425
15,gemini-1.5-pro-api-0514,1236.143798569669
16,mistral-large-2407,1231.184214827862
17,grok-2-mini-2024-08-13,1229.7788457687511
18,gpt-4o-mini-2024-07-18,1223.124839751249
19,yi-large-preview,1218.2402537422017
20,deepseek-v2-api-0628,1213.9690790546124
21,llama-3.1-70b-instruct,1213.8255175317831
22,gemini-1.5-pro-api-0409-preview,1213.2798739445943
23,deepseek-coder-v2,1210.4316126348726
24,deepseek-coder-v2-0724,1205.8664657534891
25,qwen2-72b-instruct,1202.559572195446
26,gemini-1.5-flash-api-0514,1198.4708951445186
27,athene-70b-0725,1196.696614474788
28,yi-large,1195.3901035786857
29,gpt-4-0314,1194.333209419492
30,llama-3-70b-instruct,1188.1990957851863
31,glm-4-0520,1187.7585711264505
32,nemotron-4-340b-instruct,1185.6059833833729
33,gemma-2-27b-it,1182.9588364399988
34,claude-3-sonnet-20240229,1181.8184295720807
35,reka-core-20240722,1178.5997045231088
36,gpt-4-0613,1177.8627898925088
37,jamba-1.5-large,1171.8582974938008
38,qwen-max-0428,1167.8272366236288
39,gemini-1.5-flash-8b-exp-0827,1166.464690367703
40,mistral-large-2402,1164.909179350348
41,glm-4-0116,1161.9333459637537
42,reka-core-20240501,1159.2200348351425
43,claude-3-haiku-20240307,1157.6222646732203
44,reka-flash-20240722,1152.5829616627243
45,mixtral-8x22b-instruct-v0.1,1152.1268463758938
46,qwen1.5-110b-chat,1150.7404624991877
47,yi-1.5-34b-chat,1149.7962374859703
48,gemma-2-9b-it,1147.0530683122747
49,mistral-next,1140.8283293901204
50,reka-flash-21b-20240226-online,1140.7933997816685
51,gpt-3.5-turbo-0314,1140.6280145440942
52,mistral-medium,1140.4936723832698
53,phi-3-medium-4k-instruct,1140.1175573884516
54,command-r-plus,1136.9954551210453
55,bard-jan-24-gemini-pro,1136.5106232254175
56,llama-3.1-8b-instruct,1132.599530548347
57,qwen1.5-72b-chat,1128.598816714802
58,jamba-1.5-mini,1128.5500308107298
59,claude-2.0,1127.1939039537656
60,reka-flash-preview-20240611,1126.9290563672757
61,qwen1.5-32b-chat,1125.6305724896001
62,reka-flash-21b-20240226,1123.7418171522859
63,claude-2.1,1123.2917362699059
64,phi-3-small-8k-instruct,1120.1941585626487
65,phi-3-mini-4k-instruct-june-2024,1119.9162395121398
66,llama-3-8b-instruct,1118.6488202034845
67,zephyr-orpo-141b-A35b-v0.1,1118.3712136077736
68,claude-1,1115.5213910145326
69,mixtral-8x7b-instruct-v0.1,1114.0
70,claude-instant-1,1111.6298891509123
71,gpt-3.5-turbo-0125,1109.446303108764
72,gpt-3.5-turbo-0613,1108.086954405726
73,dbrx-instruct-preview,1107.7693408205319
74,gpt-3.5-turbo-1106,1105.4240428338899
75,gemini-pro-dev-api,1099.6303535172
76,gemma-2-2b-it,1093.4298433266404
77,starling-lm-7b-beta,1092.6828333285125
78,qwen1.5-14b-chat,1090.7649383580606
79,command-r,1089.1707149604172
80,gemini-pro,1086.1754273819934
81,phi-3-mini-4k-instruct,1084.5540936598527
82,snowflake-arctic-instruct,1080.204521566361
83,yi-34b-chat,1080.046630939893
84,gemma-1.1-7b-it,1078.8706962160243
85,wizardlm-70b,1076.3813185201489
86,tulu-2-dpo-70b,1074.9082063608032
87,openchat-3.5-0106,1072.109250647402
88,deepseek-llm-67b-chat,1071.0996324229695
89,phi-3-mini-128k-instruct,1063.6026928280846
90,openhermes-2.5-mistral-7b,1061.815755831949
91,llama-2-70b-chat,1058.2632042322753
92,mistral-7b-instruct-v0.2,1057.1504927749343
93,starling-lm-7b-alpha,1047.9000932359625
94,qwen1.5-7b-chat,1047.6126498960405
95,dolphin-2.2.1-mistral-7b,1041.7238149707923
96,pplx-70b-online,1041.3143858912954
97,llama2-70b-steerlm-chat,1038.663148398441
98,vicuna-33b,1036.6160667101012
99,openchat-3.5,1034.9053644644077
100,qwen-14b-chat,1033.875240966815
101,codellama-70b-instruct,1033.5510312922388
102,gemma-7b-it,1032.863906666691
103,llama-2-13b-chat,1032.4880400050297
104,solar-10.7b-instruct-v1.0,1029.2947250921884
105,nous-hermes-2-mixtral-8x7b-dpo,1028.600053948002
106,codellama-34b-instruct,1022.0704568119758
107,gemma-1.1-2b-it,1021.8542951736504
108,palm-2,1015.5426768150111
109,falcon-180b-chat,1015.4323867362297
110,pplx-7b-online,1014.7051242143121
111,mpt-30b-chat,1013.9557388333337
112,zephyr-7b-beta,1011.1899489906309
113,llama-2-7b-chat,1010.5049825146277
114,zephyr-7b-alpha,1006.7945328872819
115,stripedhyena-nous-7b,1000.1981006267644
116,vicuna-13b,999.6818563532551
117,mistral-7b-instruct,996.7114894291071
118,guanaco-33b,994.191190474914
119,qwen1.5-4b-chat,992.8531948732573
120,olmo-7b-instruct,988.3602878818803
121,wizardlm-13b,987.6540337766392
122,gemma-2b-it,977.6264648685745
123,vicuna-7b,964.3529087102651
124,chatglm3-6b,956.116453621164
125,gpt4all-13b-snoozy,904.0625409732072
126,koala-13b,898.1519757763289
127,chatglm2-6b,893.9551509679845
128,chatglm-6b,892.0576900437209
129,RWKV-4-Raven-14B,889.9371579478632
130,mpt-7b-chat,886.7142782573237
131,alpaca-13b,873.6917887624625
132,oasst-pythia-12b,859.0268388184994
133,dolly-v2-12b,837.6620072534871
134,fastchat-t5-3b,828.7698059159985
135,stablelm-tuned-alpha-7b,804.804710149718
136,llama-13b,802.3918747337847
